,Region,State/Territory/ITO
0,SWRO,"Acoma, Canoncito & Laguna"
1,SERO,Alabama
2,WRO,Alaska
3,WRO,American Samoa 
4,SWRO,Arizona 
5,SWRO,Arkansas
6,WRO,California 
7,SWRO,Cherokee Nation 
8,MPRO,Cheyenne River Sioux Tribe
9,SWRO,Chickasaw Nation 
10,SWRO,Choctaw Nation of Oklahoma
11,SWRO,Citizen Potawatomi Nation
12,WRO,CNMI
13,MPRO,Colorado
14,NERO,Connecticut 
15,MARO,Delaware 
16,MARO,District of Columbia 
17,SERO,Eastern Band of Cherokee Indians
18,MPRO,Eastern Shoshone Tribe
19,SWRO,Eight Northern Pueblos
20,SWRO,Five Sandoval Pueblos 
21,SERO,Florida 
22,SERO,Georgia
23,WRO,Guam
24,WRO,Hawaii 
25,WRO,Idaho 
26,MWRO,Illinois 
27,NERO,Indian Township 
28,MWRO,Indiana 
29,SWRO,Inter-Tribal Council of Arizona
30,SWRO,Inter-Tribal Council of Oklahoma
31,MWRO,Iowa 
32,SWRO,Isleta Pueblo 
33,WRO,ITCN
34,MPRO,Kansas
35,SERO,Kentucky 
36,SWRO,Louisiana
37,NERO,Maine 
38,MARO,Maryland 
39,NERO,Massachusetts 
40,MWRO,Michigan 
41,MWRO,Minnesota 
42,SERO,Mississippi
43,SERO,Mississippi Band of Choctaw Indians 
44,MPRO,Missouri 
45,MPRO,Montana 
46,SWRO,Muscogee Creek Nation
47,SWRO,Navajo Nation 
48,MPRO,Nebraska 
49,WRO,Nevada 
50,NERO,New Hampshire
51,MARO,New Jersey 
52,SWRO,New Mexico 
53,NERO,New York 
54,SERO,North Carolina  
55,MPRO,North Dakota 
56,MPRO,Northern Arapahoe Tribe
57,MWRO,Ohio 
58,SWRO,Oklahoma
59,MPRO,Omaha Nation Tribe
60,WRO,Oregon 
61,SWRO,Osage Nation
62,SWRO,Otoe-Missouria Tribe
63,MARO,Pennsylvania 
64,NERO,Pleasant Point 
65,MARO,Puerto Rico 
66,NERO,Rhode Island 
67,MPRO,Rosebud Sioux Tribe
68,SWRO,San Felipe Pueblo
69,MPRO,Santee Sioux Tribe
70,SWRO,Santo Domingo Tribe 
71,SERO,South Carolina 
72,MPRO,South Dakota
73,MPRO,Standing Rock Sioux Tribe
74,SERO,Tennessee 
75,SWRO,Texas
76,MPRO,Three Affiliated Tribe
77,SWRO,Utah 
78,MPRO,Ute Mountain Ute Tribe
79,NERO,Vermont 
80,NERO,Virgin Islands
81,MARO,Virginia 
82,WRO,Washington 
83,MARO,West Virginia 
84,SWRO,"Wichita, Caddo & Delaware (WCD) "
85,MPRO,Winnebago Tribe
86,MWRO,Wisconsin
87,MPRO,Wyoming
88,SWRO,Zuni Pueblo 
